rate,sttl,dload,ackdat,dmean,ct_srv_src,ct_dst_sport_ltm,ct_dst_src_ltm,ct_src_ltm,ct_srv_dst,attack_cat
100000.0025,254,0,0,0,14,6,6,6,14,2
111111.1072,254,0,0,0,5,1,4,2,4,4
37.120093199702225,254,5273.247619520656,0.05553680302511865,44,8,1,7,2,8,2
2042.1751684051578,31,5811773.239225941,0.00015101476505793512,720,4,1,1,5,14,4
125000.0003,254,0,0,0,7,3,7,6,7,5
111111.1072,254,0,0,0,18,18,18,20,18,3
29.587738187015145,55,12764.808988507619,0.04966238689392766,136,1,1,2,1,1,4
333333.3215,254,0,0,0,3,2,3,11,3,5
111111.1072,254,0,0,0,7,2,7,3,7,1
14.861284,254,2167.999023,0.047917,44,2,1,1,1,1,5
58.03764818679581,254,5446.048486127556,0.0761785763053202,59,2,1,2,1,2,4
90909.0902,254,0,0,0,20,6,6,6,18,0
100000.0025,254,0,0,0,11,2,2,2,11,0
125000.0003,254,0,0,0,3,1,1,1,3,2
250000.0006,254,0,0,0,12,3,7,8,12,3
14.504205,254,4177.210938,0.102791,84,1,1,1,2,1,2
21.809554,254,2605.514648,0.119524,45,2,1,1,2,1,5
44.798317,254,5351.905762,0.052711,45,1,1,1,1,1,5
11.143355,254,3040.376465,0.114058,93,3,1,1,2,1,2
90909.0902,254,0,0,0,14,4,7,9,14,3
48.14536651563758,62,195726.66807654672,0.04466523177037289,928,1,1,1,1,1,0
4574.921024662844,31,16667625.575002024,0.00012968496153065493,905,8,1,1,5,4,4
500000.0013,254,0,0,0,5,3,3,3,5,3
25.688915,254,3747.559326,0.053602,44,2,1,2,2,2,4
250000.0006,254,0,0,0,4,2,4,3,4,2
125000.0003,254,0,0,0,11,3,5,7,11,1
21.57389869384541,254,2606.5579114290363,0.07750569571729764,44,4,1,1,1,4,2
125000.0003,254,0,0,0,9,2,2,2,9,2
333333.3215,254,0,0,0,9,3,9,12,9,0
26.01503632078537,254,3502.805464957822,0.06645308515213624,44,3,1,3,2,3,4
19.711482718028112,62,16461.208444245567,0.12153931833114628,225,1,1,1,2,1,1
7.016994,254,1023.655579,0.239846,44,2,1,1,2,1,4
17.859440203636183,254,2610.32669991113,0.07397938859101336,52,2,1,1,1,1,4
16.971872666423206,181,7241.587475315924,0.11764207870727433,120,1,1,1,1,1,0
21.014992,62,4865.132324,0.061663,75,1,1,1,1,1,1
333333.3215,254,0,0,0,5,2,5,2,5,1
47.14001796564054,202,26010.460597553163,0.05077100257400874,168,1,1,1,1,1,1
41.55341315512327,254,4964.247866469489,0.06559178156695208,45,1,1,1,1,1,0
125000.0003,254,0,0,0,9,5,9,15,9,0
1.3040523508196256,254,0,0,0,6,4,6,9,6,2
59.08382459324437,62,7355.487456160613,0.052473267210175256,69,1,1,3,1,1,1
25.182983,254,3673.75293,0.047721,44,14,1,1,3,2,5
